time_index,historical_tb,forecast_mlp_tb,forecast_lstm_tb,forecast_gru_tb,forecast_pint_tb,forecast_tfkan_tb,forecast_exp_tb,forecast_arima_tb,forecast_prophet_tb,forecast_moe_tb
447,335.18337975008,,,,,,,,,
448,335.12116989248,,,,,,,,,
449,335.13043090688,,,,,,,,,
450,335.14905359888,,,,,,,,,
451,335.13711941728,,,,,,,,,
452,335.15160373328,,,,,,,,,
453,335.17997957088,,,,,,,,,
454,335.19756207648,,,,,,,,,
455,335.19689098848,,,,,,,,,
456,335.20118595168,,,,,,,,,
457,335.19975429728,,,,,,,,,
458,335.20176756128,,,,,,,,,
459,335.21125227168,,,,,,,,,
460,335.21469719008,,,,,,,,,
461,335.21751575968,,,,,,,,,
462,335.21371292768,,,,,,,,,
463,335.20995483488,,,,,,,,,
464,335.40233339488,,,,,,,,,
465,335.40358609248,,,,,,,,,
466,335.40577831328,,,,,,,,,
467,335.39356451168,,,,,,,,,
468,335.30896268448,,,,,,,,,
469,335.32141136688,,,,,,,,,
470,335.32820054048,,,,,,,,,
471,335.33445284368,,,,,,,,,
472,335.35171099008,,,,,,,,,
473,335.34340068368,,,,,,,,,
474,335.36277275728,,,,,,,,,
475,335.39452640448,,,,,,,,,
476,335.41488274048,,,,,,,,,
477,335.43774447168,,,,,,,,,
478,335.45783237248,,,,,,,,,
479,335.46082989888,,,,,,,,,
480,335.45915217888,,,,,,,,,
481,335.45617702208,,,,,,,,,
482,335.45644545728,,,,,,,,,
483,335.45626650048,,,,,,,,,
484,335.45796659008,,,,,,,,,
485,335.46074042048,,,,,,,,,
486,335.45644545728,,,,,,,,,
487,335.45443219328,,,,,,,,,
488,335.65021093248,,,,,,,,,
489,335.64452905408,,,,,,,,,
490,335.65016619328,,,,,,,,,
491,335.65580333248,,,,,,,,,
492,335.65920351168,,,,,,,,,
493,335.66614927248,,,,,,,,,
494,335.69146047488,,,,,,,,,
495,335.71130231008,,,,,,,,,
496,335.68365348448,,,,,,,,,
497,335.66362150768,,,,,,,,,
498,335.65130704288,,,,,,,,,
499,335.64072622208,,,,,,,,,
500,335.60239591248,,,,,,,,,
501,335.61158981808,,,,,,,,,
502,335.63070464128,,,,,,,,,
