Real_TB,MLP_TB,LSTM_TB,GRU_TB,TFKAN_TB,PINT_TB,EXP_TB,ARIMA_TB,PROPHET_TB,MOE_TB
377.9933,378.20935,376.5153,377.31778,375.40173,377.2405,376.2386,378.6251,378.1196703290689,377.68582
378.0094,378.26498,376.52405,377.35834,375.41754,377.2597,376.25235,378.6532,378.1319034404081,377.7232
378.02905,378.30893,376.53683,377.3782,375.4268,377.28134,376.2661,378.6813,378.14035928811865,377.75204
378.07162,378.32712,376.5571,377.39444,375.41663,377.30457,376.27988,378.7094,378.1666995037607,377.768
378.11545,378.38208,376.63217,377.4184,375.44308,377.32916,376.29364,378.7375,378.218330136842,377.81372
378.1241,378.50543,376.78442,377.4467,375.62387,377.35492,376.30737,378.76562,378.27882038645015,377.91336
378.0978,378.54007,376.7971,377.46796,375.6258,377.3796,376.32117,378.79373,378.320594614735,377.9399
378.08212,378.52652,376.80435,377.47806,375.59213,377.40405,376.33493,378.8218,378.32873209680855,377.93417
378.0722,378.52753,376.81052,377.48978,375.58047,377.42795,376.3487,378.84995,378.3138276638557,377.9354
378.06738,378.53122,376.81537,377.50406,375.57114,377.4507,376.36246,378.87802,378.30211394614355,377.93866
378.0637,378.54,376.81937,377.52017,375.56616,377.47217,376.37622,378.90616,378.3125149965081,377.94696
378.03284,378.55557,376.82358,377.53635,375.5657,377.49207,376.38995,378.93427,378.3421421238126,377.96097
378.0225,378.55603,376.8279,377.54578,375.54675,377.51,376.40372,378.96234,378.3728962146481,377.96545
378.025,378.55737,376.8329,377.55786,375.53778,377.52597,376.41748,378.99048,378.3911079698638,377.97015
378.01895,378.5737,376.83615,377.57394,375.53436,377.53995,376.43124,379.0186,378.40031744951557,377.98227
378.03598,378.5855,376.83878,377.5888,375.53714,377.5521,376.445,379.04666,378.4153208962519,377.99286
378.07184,378.60147,376.84225,377.60788,375.54147,377.56296,376.45874,379.0748,378.4449447690375,378.0076
378.08887,378.6248,376.84714,377.63184,375.55527,377.57324,376.4725,379.10287,378.48201839835315,378.0279
378.1038,378.65195,376.851,377.65225,375.56546,377.58307,376.4863,379.13098,378.51091711300074,378.04874
378.12408,378.657,376.85477,377.67062,375.55814,377.5927,376.50006,379.15912,378.524507887265,378.05548
378.13693,378.66574,376.86053,377.69012,375.565,377.6026,376.51382,379.1872,378.53244470915183,378.06473
378.15222,378.68118,376.87003,377.7088,375.57175,377.61255,376.52756,379.2153,378.551718493925,378.07883
378.16733,378.7036,376.92337,377.72806,375.56738,377.62277,376.54132,379.2434,378.5888381235461,378.1015
378.37003,378.78467,377.0828,377.7477,375.64545,377.63318,376.55508,379.2715,378.63225080666325,378.17014
