Real_TiB,MLP_TiB,LSTM_TiB,GRU_TiB,TFKAN_TiB,PINN_TiB,EXP_TiB,ARIMA_TiB,PROPHET_TiB,MOE_TiB
384.08844,367.39288,315.20944,365.42154,365.8553,347.93597,363.90137,359.46335,379.7475800057503,378.68857
381.00293,365.2614,314.30084,365.56293,364.94952,348.35046,364.06738,361.59265,379.83716573567716,379.0602
374.68158,361.3976,312.97302,363.41296,361.89493,348.44745,364.23337,364.17838,379.926751465604,378.84808
376.12085,359.573,312.14145,360.8585,358.57773,348.83676,364.39938,365.40012,380.01633719553087,377.84097
374.4285,359.6897,311.72256,362.3689,358.72757,349.58163,364.56537,364.46326,380.1059229254577,378.1805
377.2061,360.46234,311.69757,363.6415,360.06656,350.58862,364.73138,362.19452,380.1955086553846,378.60065
386.98404,362.90543,311.65027,365.8382,362.32608,351.5752,364.89737,360.41965,380.2850943853114,379.18863
387.87915,363.66696,310.3387,368.03223,361.7685,351.98843,365.0634,360.5917,380.3746801152383,379.26807
384.0174,361.903,307.43945,369.53857,360.7058,351.5498,365.22937,362.70078,380.4642658451652,379.4413
382.13138,357.25082,303.97546,371.4197,355.9426,350.61377,365.3954,365.28268,380.55385157509204,378.193
376.47882,354.7708,300.96646,368.78162,353.43335,349.61554,365.56137,366.51987,380.6434373050189,376.7695
380.70544,354.37845,299.2798,368.01392,351.5482,349.44266,365.7274,365.6061,380.73302303494575,374.69897
383.55865,357.4239,298.23978,371.80414,356.62045,349.78702,365.89337,363.35077,380.8226087648726,377.66217
385.3658,360.43484,297.29425,373.62296,360.53836,350.18622,366.0594,361.56955,380.91219449479945,379.27954
386.1952,361.00928,295.89014,371.7548,362.03738,350.4103,366.22537,361.72034,381.0017802247263,379.98172
384.11313,359.32083,294.034,368.76913,359.16254,350.3863,366.3914,363.80908,381.09136595465316,379.95154
376.84003,354.94656,292.23358,365.95328,355.09872,350.38266,366.55737,366.387,381.18095168458,379.0933
375.66455,351.24188,291.48398,363.65878,351.0664,351.12158,366.7234,367.6394,381.27053741450686,377.13654
375.11978,353.4057,291.72147,363.6831,353.96802,352.33322,366.88937,366.74872,381.3601231444337,379.39282
380.9519,355.48032,292.69193,364.91968,356.07108,353.54028,367.0554,364.5069,381.44970887436057,380.17795
377.13037,358.81622,293.43967,367.65607,360.58524,354.61987,367.22137,362.71957,381.5392946042874,380.99872
373.83942,360.39716,294.13684,368.0223,360.41837,355.61203,367.3874,362.84915,381.6288803342143,381.20093
370.60025,356.72366,295.07318,367.15732,357.19196,356.59174,367.55338,364.91763,381.7184660641411,381.21805
368.08542,353.26907,296.36575,366.86542,353.81375,357.58087,367.7194,367.49133,381.808051794068,381.28854
373.1904,351.16705,297.98355,367.0138,352.36215,358.593,367.88538,368.7588,381.89763752399483,381.43192
375.25668,353.53293,299.39835,368.5631,356.0154,359.52283,368.0514,367.89105,381.9872232539217,381.78738
382.0597,356.5665,300.22675,369.34717,361.53616,360.39554,368.21738,365.6629,382.07680898384854,381.98486
385.1422,359.04633,299.78802,370.40015,363.83765,361.08618,368.3834,363.86963,382.1663947137754,382.07117
385.58923,358.11475,297.59534,370.578,361.5885,360.65063,368.54938,363.97824,382.25598044370224,382.13098
376.53732,354.2321,294.0238,367.66724,358.78577,359.13174,368.7154,366.0264,382.3455661736291,382.18594
371.39642,350.08902,290.53928,361.40933,352.69266,357.31308,368.88138,368.59573,382.435151903556,382.02515
