Actual_TiB,MLP_TiB,LSTM_TiB,GRU_TiB,PINN_TiB,TFKAN_TiB,ETS_TiB,PROPHET_TiB,MOE_TiB
353.70840894943143,373.9024209480284,339.2676228981016,370.9183339576719,349.59282917785623,376.841595600128,361.8375815366565,361.5185429859221,378.2298583984375
359.2957985992546,373.3393620948789,332.4986981849668,363.9628476600645,344.5647806625364,371.61511320877054,362.007918465809,361.7941561076871,377.7330627441406
365.2012982978487,369.2975263099668,326.6128682594297,354.97326750564554,339.7011661033628,366.09962935256937,362.1782553949615,361.8220538207688,375.1607055664063
372.7478585266504,365.8988999824522,322.8036908607481,352.6178509693144,337.0545529823301,359.6403207283018,362.34859232411407,361.6401926978449,368.7958068847656
371.56302852835466,365.2708339195249,321.1174764137266,353.3393978576658,337.2948626976011,358.49248022842386,362.51892925326655,361.3987865903086,368.2569580078125
372.2607771656475,367.1456574897764,320.9610280494688,354.40587086486795,338.99422449874857,361.1941995124815,362.68926618241903,361.1674527403823,371.8323669433594
366.8353108605366,370.7985143165586,321.70838637161233,356.71885342407205,340.57739443588235,365.9322461585997,362.8596031115716,360.8844442994511,375.9028930664063
363.15498884441377,370.8969716529844,321.9757775764463,358.10055250930765,341.82245821762064,366.672330806732,363.02994004072406,360.4830841755826,376.6227722167969
364.421158993617,370.03895277786233,321.0479707221983,359.1983828048704,342.79827208328226,366.44756407546976,363.2002769698766,360.0343815919046,377.47357177734375
370.7657471080313,365.947061489105,319.2387036781309,361.23365587997415,343.6573967437742,362.1060761909483,363.3706138990291,359.72815249342403,376.6640625
373.43095742026327,364.1665667991636,317.1928472023008,360.3654002647398,344.44750017929056,360.03474421310403,363.5409508281816,359.69206835190226,375.6923828125
371.8712040483952,362.5929507713316,315.8495892982481,358.1388887863157,345.3010687332151,357.6274780731199,363.7112877573341,359.8331781765574,372.31787109375
365.7950270031576,362.90935225296,315.30334753799417,359.3787784080503,346.2125625114439,360.8628215293882,363.88162468648665,359.88324922463494,375.6841125488281
363.5971341175032,366.1996983985899,315.3527173500059,361.83230490493753,347.1136626701353,365.13901133346536,364.05196161563913,359.6315691224709,378.2380981445313
358.71031735697744,367.3928689460752,315.2094411354063,365.42146963882425,347.93600625801065,365.8552941780088,364.22229854479167,359.13148885473413,378.6885681152344
360.00743684684846,365.26140303421,314.3008489112852,365.56284518051126,348.35050363349893,364.949541996002,364.39263547394415,358.6735795373969,379.0602111816406
361.59051847225095,361.39761442947366,312.9730252723692,363.4128827552793,348.4475018482206,361.8949374656675,364.5629724030967,358.53492630960966,378.84808349609375
365.4946451657448,359.5729994277952,312.14145178604105,360.8583878974912,348.83680529403665,358.57774252700784,364.7333093322492,358.7351829616974,377.8409729003906
365.07606552867225,359.689680049896,311.72255224990823,362.36877722549417,349.5816711883543,358.7275938491819,364.9036462614017,359.0353469971947,378.1805114746094
365.3947737412529,360.46234125900247,311.6975736122129,363.6414193611143,350.58868641662576,360.0665673713682,365.0739831905542,359.1884534814404,378.60064697265625
370.7396936500445,362.9054173927305,311.65027518081644,365.83807749557474,351.57524747657754,362.3260964851377,365.2443201197067,359.2044296847294,379.1886291503906
374.2241589576006,363.6669635276792,310.338702152252,368.03211874771097,351.98848504829385,361.7685069541929,365.4146570488592,359.3649669957601,379.26806640625
379.1898436569605,361.90302557754495,307.43945593643167,369.5384416084288,351.5498660902975,360.7058152656553,365.5849939780117,359.95404277894323,379.4413146972656
387.8694948018532,357.2508306007383,303.97544760513284,371.4195718269346,350.6138345699308,355.9426021080015,365.75533090716425,360.94460268203807,378.1929931640625
381.6435852656145,354.770819137573,300.96644873428323,368.7814816932676,349.61559672164896,353.4333576660154,365.92566783631673,361.94014009146,376.7695007324219
377.408386103343,354.3784515361784,299.27978033828714,368.01381392288187,349.4427186946867,351.54819924640634,366.0960047654693,362.44837552573296,374.698974609375
366.576841698494,357.4238934020994,298.23977179336526,371.8040246467588,349.78705758857706,356.6204871635435,366.26634169462176,362.26275823337386,377.66217041015625
364.13436561543466,360.43485064315774,297.2942418556211,373.6228494148252,350.1862624387739,360.5383777122496,366.4366786237743,361.6241464961793,379.279541015625
361.8167925123129,361.0092591743467,295.89013190078714,371.75468725967386,350.4103649358747,362.03739065933206,366.6070155529268,361.02593040821847,379.9817199707031
364.4830856379118,359.3208293418882,294.03398413467386,368.7690381507872,350.38634545612314,359.1625680427549,366.7773524820793,360.8357773016145,379.9515380859375
373.0488417046146,354.94656796264627,292.2335843544004,365.9531793098448,350.3827056388853,355.09875435638406,366.9476894112318,361.05456663933455,379.0932922363281
375.2612962196579,351.2418715457914,291.4839772682188,363.6586875419615,351.12164897727945,351.0664472084043,367.1180263403844,361.3923148098313,377.1365356445313
373.48053858242895,353.4057080249784,291.7214459877012,363.6830214958189,352.3332703809736,353.9680306415556,367.2883632695368,361.5536745832745,379.392822265625
372.02717018965626,355.4803115825651,292.69191260147073,364.9196109275816,353.54034681129434,356.0711078147886,367.45870019868937,361.4599848210569,380.1779479980469
366.0830387510357,358.8162092666624,293.4396543006895,367.6559876899717,354.6199464302061,360.5852546195982,367.62903712784185,361.23100360916976,380.9987182617188
366.3037389842796,360.3971394996641,294.1368207435606,368.02223105239847,355.61209220695474,360.41839594650247,367.7993740569944,360.9954467135653,381.200927734375
366.5308610121717,356.72365183639505,295.0731610755918,367.1572246055601,356.59178967285135,357.1919850807188,367.9697109861469,360.7505419596058,381.2180480957031
370.8463740297594,353.2690600852964,296.3657330970762,366.8653459053037,357.58093018341043,353.8137902717588,368.14004791529936,360.4101128258525,381.2885437011719
374.0172111690045,351.16704101371744,297.9835423927305,367.0137090187071,358.59305472183206,352.3621979455946,368.3103848444519,359.9658647343547,381.4319152832031
371.0040015401316,353.53292674827554,299.3983411293028,368.5630235176084,359.5228909950254,356.0154413681028,368.4807217736044,359.5634194357528,381.7873840332031
364.83083138568304,356.56650633621194,300.2267293434141,369.3470868568418,360.395605037689,361.5361833076475,368.6510587027569,359.38822744053294,381.98486328125
366.2363620800896,359.0463346939085,299.78803534316995,370.40007300186136,361.0862292747496,363.8376636009214,368.8213956319094,359.46727355721106,382.0711669921875
364.5836570807734,358.1147450904844,297.59533209609964,370.5779141883848,360.6506995658872,361.5885419349668,368.9917325610619,359.59925877433204,382.1309814453125
367.29614726966287,354.23210115241983,294.02381033706644,367.6671552162168,359.13181395339944,358.78581518936136,369.1620694902144,359.5110277395967,382.1859436035156
376.8449257118626,350.089014242172,290.53927893447855,361.4092311363218,357.31312937545755,352.6927003364561,369.3324064193669,359.10967192489204,382.025146484375
377.7190553848629,,,,,,,358.5879568364336,
373.947811901104,,,,,,,358.26748287722233,
372.1060142354106,,,,,,,358.31560908063886,
366.58593711536406,,,,,,,358.6037834505242,
370.7135020126591,,,,,,,358.8494473732799,
373.499839046504,,,,,,,358.9121615991167,
375.26465016882895,,,,,,,358.9565819752015,
376.0745913176794,,,,,,,359.30981211253646,
374.0413225702944,,,,,,,360.1290630715825,
366.9386842199602,,,,,,,361.1870187028083,
365.7907447945328,,,,,,,361.9903596873468,
365.2587463269014,,,,,,,362.14901537983246,
370.9541727565231,,,,,,,361.68278266771233,
367.2222151705065,,,,,,,361.0017810943,
