weight_MLP,weight_LSTM,weight_GRU,weight_PINN,weight_TFKAN,weight_EXP,weight_ARIMA,weight_PROPHET
2.7341046e-06,7.535967e-05,1.3307017e-06,7.831674e-11,0.0026095007,1.7115472e-07,4.3421548e-07,0.9973105
1.2750054e-06,4.5524197e-05,7.804916e-07,2.1987015e-11,0.001762276,7.827162e-08,1.8526016e-07,0.99818987
3.96762e-07,2.0022018e-05,3.1285597e-07,3.011047e-12,0.0011163969,2.5574028e-08,4.8008594e-08,0.99886286
1.4477324e-07,9.511553e-06,1.0921504e-07,4.944885e-13,0.00080023473,8.7223375e-09,1.4507183e-08,0.9991899
1.08644656e-07,7.511112e-06,6.793312e-08,2.5987513e-13,0.0008486647,6.9376487e-09,9.313929e-09,0.9991436
1.1273886e-07,7.476205e-06,5.6799486e-08,2.4202857e-13,0.0011092636,8.504893e-09,8.5343705e-09,0.99888307
1.2655428e-07,8.279126e-06,5.445384e-08,2.7379994e-13,0.0013299774,1.0850978e-08,8.859942e-09,0.9986615
1.0728432e-07,7.760582e-06,4.407721e-08,1.9630403e-13,0.0011724614,8.639216e-09,7.1619155e-09,0.99881965
5.549426e-08,5.1037537e-06,2.6090376e-08,6.2972224e-14,0.00079437916,4.0437227e-09,3.418542e-09,0.9992004
1.8816031e-08,2.3465998e-06,1.1126461e-08,9.964442e-15,0.000508298,1.4284963e-09,9.622242e-10,0.9994893
6.2262955e-09,9.599743e-07,3.82814e-09,1.459493e-15,0.00035448142,4.9953763e-10,2.4486208e-10,0.9996445
3.668262e-09,5.914273e-07,1.9791204e-09,5.5955023e-16,0.0003561624,3.384255e-10,1.184858e-10,0.9996432
2.8487526e-09,4.4432156e-07,1.2944227e-09,3.5307076e-16,0.00043306162,3.3164932e-10,7.819355e-11,0.9995665
3.4509686e-09,5.359528e-07,1.2657807e-09,4.568418e-16,0.00053457275,4.3439233e-10,9.211372e-11,0.9994648
3.7040342e-09,6.509909e-07,1.201247e-09,4.7447583e-16,0.00051438506,4.209509e-10,1.0078994e-10,0.999485
2.4435516e-09,5.4055977e-07,8.24364e-10,2.2144225e-16,0.00037150946,2.3677965e-10,6.421951e-11,0.9996278
1.1281784e-09,3.297538e-07,4.1734763e-10,5.8568675e-17,0.0002555513,1.015502e-10,2.6948083e-11,0.9997441
4.790513e-10,1.6800261e-07,1.796761e-10,1.33344286e-17,0.00019842923,4.5287867e-11,9.494718e-12,0.9998014
2.648564e-10,9.6632135e-08,9.151725e-11,4.719989e-18,0.00019368093,2.988254e-11,4.2260566e-12,0.99980617
1.7870161e-10,6.42654e-08,5.447233e-11,2.3600489e-18,0.00021797729,2.5851923e-11,2.3250449e-12,0.99978185
1.5738118e-10,5.785224e-08,4.2500194e-11,1.8304649e-18,0.00024111415,2.6298725e-11,1.8361738e-12,0.9997589
1.3979692e-10,5.8512793e-08,3.6352574e-11,1.4657604e-18,0.00023463216,2.2701093e-11,1.6601818e-12,0.99976534
9.811661e-11,5.1784635e-08,2.7095605e-11,8.0017823e-19,0.00019041348,1.40828035e-11,1.2151968e-12,0.9998095
4.9899928e-11,3.4223728e-08,1.4738889e-11,2.5039858e-19,0.0001400982,6.6431353e-12,5.806423e-13,0.9998599
2.174392e-11,1.7808915e-08,6.4326535e-12,5.975717e-20,0.000112307534,3.054882e-12,2.1231938e-13,0.9998877
1.1134975e-11,9.598725e-09,3.06668e-12,1.8606738e-20,0.00010678293,1.881078e-12,8.595165e-14,0.9998932
5.7800097e-12,5.4188374e-09,1.5521149e-12,5.806912e-21,9.9365214e-05,1.3009655e-12,3.2969856e-14,0.9999006
4.753735e-12,4.71139e-09,1.1625358e-12,4.0122848e-21,0.00010511546,1.2377112e-12,2.409749e-14,0.99989486
3.746723e-12,4.1303885e-09,9.096534e-13,2.6429083e-21,9.81243e-05,9.671768e-13,1.8535898e-14,0.9999019
3.0330341e-12,3.910413e-09,7.377953e-13,1.855074e-21,8.7598426e-05,6.7675504e-13,1.6264339e-14,0.9999124
1.9356185e-12,3.0651417e-09,4.7420536e-13,8.582387e-22,7.2276045e-05,3.9155476e-13,1.0365136e-14,0.99992776
9.754064e-13,1.8624555e-09,2.3367107e-13,2.6172895e-22,6.12527e-05,2.0645722e-13,4.578562e-15,0.9999387
4.7559786e-13,1.0399089e-09,1.1137776e-13,7.3993695e-23,5.4502103e-05,1.2320731e-13,1.742345e-15,0.9999455
2.2547861e-13,5.526066e-10,5.21258e-14,1.9771577e-23,4.866453e-05,7.751907e-14,6.0261746e-16,0.99995136
1.3508843e-13,3.6423944e-10,3.064116e-14,7.920478e-24,4.391207e-05,5.4488915e-14,2.9430493e-16,0.99995613
1.11404646e-13,3.3315017e-10,2.4522119e-14,5.6330995e-24,4.199488e-05,4.35728e-14,2.430357e-16,0.99995804
8.635398e-14,3.0135144e-10,1.951774e-14,3.674869e-24,3.726715e-05,3.1028995e-14,1.9485547e-16,0.9999627
6.523628e-14,2.689781e-10,1.4348806e-14,2.2721977e-24,3.3343866e-05,2.0937765e-14,1.5386139e-16,0.9999666
3.8042482e-14,1.8558932e-10,8.0037295e-15,8.866273e-25,2.9427942e-05,1.2269487e-14,8.278824e-17,0.99997056
1.9306234e-14,1.06124116e-10,3.9036703e-15,2.6589831e-25,2.5006215e-05,6.5653583e-15,3.5585346e-17,0.99997497
8.425915e-15,5.194504e-11,1.7011071e-15,6.1095514e-26,2.0242482e-05,3.3396519e-15,1.182924e-17,0.99997973
4.1199886e-15,2.8700181e-11,8.528714e-16,1.7243435e-26,1.647197e-05,1.9187448e-15,4.4795234e-18,0.99998355
2.9020317e-15,2.2917371e-11,6.041317e-16,9.3598146e-27,1.4836176e-05,1.3818695e-15,2.9525329e-18,0.9999852
2.401543e-15,2.1937277e-11,5.0254465e-16,6.838083e-27,1.38662745e-05,1.0714053e-15,2.5497737e-18,0.9999862
1.8449784e-15,1.9704153e-11,3.7776994e-16,4.356681e-27,1.2656577e-05,7.560693e-16,2.0251114e-18,0.99998736
1.1441336e-15,1.4168022e-11,2.2120555e-16,1.879601e-27,1.1161378e-05,4.3906638e-16,1.215462e-18,0.9999888
6.298252e-16,8.73554e-12,1.1475789e-16,6.481603e-28,9.72471e-06,2.4651046e-16,5.8850245e-19,0.9999902
2.9482117e-16,4.584677e-12,5.2485602e-17,1.6801057e-28,8.028293e-06,1.291422e-16,2.1854122e-19,0.999992
1.4093073e-16,2.4965748e-12,2.5787577e-17,4.5631046e-29,6.456514e-06,7.249679e-17,8.053877e-20,0.99999356
8.538536e-17,1.7481588e-12,1.6418695e-17,1.914402e-29,5.472694e-06,4.806524e-17,4.225892e-20,0.9999945
6.995108e-17,1.6487594e-12,1.3576681e-17,1.3729615e-29,5.1124316e-06,3.742455e-17,3.568006e-20,0.9999949
5.0981497e-17,1.4032374e-12,9.906994e-18,7.9991356e-30,4.599482e-06,2.6034929e-17,2.5967738e-20,0.99999535
3.4373924e-17,1.0820822e-12,6.1363025e-18,3.978636e-30,4.211974e-06,1.58066e-17,1.7714414e-20,0.9999958
2.0533682e-17,7.2060115e-13,3.351328e-18,1.578252e-30,3.7822865e-06,9.1340385e-18,9.813781e-21,0.9999962
1.0242334e-17,4.0356986e-13,1.5878827e-18,4.5617574e-31,3.1864831e-06,4.8406647e-18,4.074393e-21,0.9999968
5.0666136e-18,2.276102e-13,7.920402e-19,1.3128024e-31,2.593872e-06,2.72399e-18,1.5979011e-21,0.9999974
3.0020541e-18,1.5593185e-13,4.9578807e-19,5.2934503e-32,2.1799526e-06,1.794079e-18,8.059989e-22,0.99999785
2.2196562e-18,1.3361625e-13,3.853066e-19,3.1862386e-32,1.9568126e-06,1.3493795e-18,5.740977e-22,0.9999981
1.7568104e-18,1.2125683e-13,3.0223344e-19,2.1373125e-32,1.8198461e-06,1.01185e-18,4.6343647e-22,0.9999982
1.2052375e-18,9.466792e-14,1.9088768e-19,1.0953784e-32,1.6765083e-06,6.2859326e-19,3.2148e-22,0.99999833
7.2373837e-19,6.3621085e-14,1.0427513e-19,4.3887093e-33,1.5070692e-06,3.5964164e-19,1.8131968e-22,0.99999845
3.6210036e-19,3.6021384e-14,4.9056764e-20,1.2760772e-33,1.2680974e-06,1.8637623e-19,7.693921e-23,0.9999987
1.7960865e-19,2.0490733e-14,2.4184839e-20,3.6873974e-34,1.0334842e-06,1.02336756e-19,3.084611e-23,0.9999989
1.00630735e-19,1.3348539e-14,1.4441816e-20,1.3488398e-34,8.520008e-07,6.495499e-20,1.4344555e-23,0.99999917
6.067673e-20,9.52054e-15,9.780213e-21,5.7344454e-35,7.08256e-07,4.414718e-20,7.467195e-24,0.9999993
4.3748523e-20,7.915177e-15,7.295315e-21,3.2862138e-35,6.3573214e-07,3.2214853e-20,5.1607276e-24,0.9999994
2.610899e-20,5.448345e-15,4.2350125e-21,1.3303157e-35,5.5499066e-07,1.8897e-20,2.8696066e-24,0.9999994
1.9045793e-20,4.3419112e-15,2.6509006e-21,7.424234e-36,5.381452e-07,1.20608386e-20,2.1640032e-24,0.9999994
1.1833699e-20,2.9951885e-15,1.4401267e-21,3.121607e-36,4.8949363e-07,6.932645e-21,1.2827803e-24,0.9999995
6.72748e-21,1.933537e-15,7.72478e-22,1.1369373e-36,4.1862143e-07,4.025016e-21,6.3832534e-25,0.9999995
4.3617367e-21,1.4315101e-15,5.0542023e-22,5.3177537e-37,3.6502647e-07,2.7476303e-21,3.7031769e-25,0.99999964
2.8588277e-21,1.0898792e-15,3.618447e-22,2.600619e-37,3.1575286e-07,1.9700427e-21,2.172804e-25,0.99999964
1.7908115e-21,7.9613876e-16,2.467793e-22,1.1741152e-37,2.6980388e-07,1.3487313e-21,1.2075406e-25,0.99999976
1.019055e-21,5.250767e-16,1.3937486e-22,4.387716e-38,2.3123195e-07,7.7550454e-22,6.2319124e-26,0.99999976
5.793567e-22,3.3768038e-16,7.3684474e-23,1.6053326e-38,2.0306365e-07,4.3019985e-22,3.2459377e-26,0.99999976
3.431423e-22,2.243121e-16,3.8697392e-23,6.229185e-39,1.8107522e-07,2.3900335e-22,1.8023684e-26,0.99999976
2.1394233e-22,1.5775829e-16,2.2006256e-23,2.653509e-39,1.5985567e-07,1.4446494e-22,1.03600086e-26,0.9999999
1.48978e-22,1.2433426e-16,1.5073575e-23,1.399016e-39,1.4294046e-07,1.02620504e-22,6.668746e-27,0.9999999
1.0585703e-22,1.0113086e-16,1.14150405e-23,7.83682e-40,1.2775372e-07,7.762294e-23,4.3817368e-27,0.9999999
6.8056867e-23,7.512455e-17,7.9779854e-24,3.69869e-40,1.1070196e-07,5.4676675e-23,2.5099403e-27,0.9999999
3.3336344e-23,4.340534e-17,4.0818665e-24,1.07262e-40,8.9697586e-08,2.904499e-23,1.0345944e-27,0.9999999
1.8232557e-23,2.7075365e-17,2.0946265e-24,3.677e-41,7.7576765e-08,1.561031e-23,5.12652e-28,0.9999999
8.8944185e-24,1.5234614e-17,9.599708e-25,1.0273e-41,6.424939e-08,7.702324e-24,2.1509797e-28,0.9999999
5.6038012e-24,1.0844332e-17,5.462097e-25,4.453e-42,5.6971782e-08,4.6250785e-24,1.2666491e-28,1.0
4.3274416e-24,9.359175e-18,4.0007313e-25,2.794e-42,5.2882584e-08,3.4750885e-24,9.497844e-29,1.0
3.500287e-24,8.501365e-18,3.3186972e-25,1.949e-42,4.962423e-08,2.8505698e-24,7.5107765e-29,1.0
2.3261414e-24,6.4665353e-18,2.395553e-25,9.74e-43,4.3612847e-08,2.0832552e-24,4.4651897e-29,1.0
1.0700387e-24,3.530295e-18,1.1826455e-25,2.54e-43,3.4495734e-08,1.079802e-24,1.6657848e-29,1.0
5.1427854e-25,1.9718958e-18,5.551751e-26,7e-44,2.8364266e-08,5.375077e-25,6.8357415e-30,1.0
2.5482537e-25,1.1297369e-18,2.5614093e-26,2e-44,2.3619178e-08,2.6412771e-25,2.9646573e-30,1.0
1.5157458e-25,7.666143e-19,1.3913822e-26,8e-45,2.0512637e-08,1.5166422e-25,1.617116e-30,1.0
1.213456e-25,6.824966e-19,1.0387236e-26,6e-45,1.9314216e-08,1.1575566e-25,1.2813832e-30,1.0
1.0622823e-25,6.625844e-19,9.090234e-27,4e-45,1.8688656e-08,9.965448e-26,1.1350521e-30,1.0
7.868326e-26,5.5229376e-19,7.11454e-27,3e-45,1.71313e-08,7.827551e-26,7.8700174e-31,1.0
3.697558e-26,3.0667628e-19,3.588706e-27,0.0,1.3661964e-08,4.1459213e-26,3.0132154e-31,1.0
1.561946e-26,1.5335883e-19,1.54571035e-27,0.0,1.0671573e-08,1.920186e-26,1.0211201e-31,1.0
7.52455e-27,8.602946e-20,6.987664e-28,0.0,8.7791e-09,9.2245835e-27,4.2703238e-32,1.0
4.005232e-27,5.3065142e-20,3.5028982e-28,0.0,7.310296e-09,4.9427644e-27,1.9843554e-32,1.0
3.3757554e-27,4.9369784e-20,2.6974702e-28,0.0,7.0251764e-09,3.873705e-27,1.6979566e-32,1.0
3.2557957e-27,5.205267e-20,2.5174572e-28,0.0,7.0578663e-09,3.5263492e-27,1.7328071e-32,1.0
2.7201634e-27,4.8100094e-20,2.1482904e-28,0.0,6.77941e-09,2.9812196e-27,1.4316131e-32,1.0
