forecast_step,MoE_TB
977,431.66425
978,431.70642
979,431.74707
980,431.78476
981,431.82062
982,431.8567
983,431.89468
984,431.93423
985,431.97397
986,432.01242
987,432.05023
988,432.0886
989,432.12817
990,432.16843
991,432.20782
992,432.24597
993,432.28366
994,432.3223
995,432.3626
996,432.40338
997,432.44308
998,432.48123
999,432.51904
1000,432.55847
1001,432.60022
1002,432.6427
1003,432.68338
1004,432.7211
1005,432.75668
1006,432.79263
1007,432.83066
1008,432.87036
1009,432.9101
1010,432.94876
1011,432.98657
1012,433.025
1013,433.06473
1014,433.10513
1015,433.1448
1016,433.18304
1017,433.2208
1018,433.25952
1019,433.30005
1020,433.34116
1021,433.38107
1022,433.41925
1023,433.45703
1024,433.49664
1025,433.5387
1026,433.58157
1027,433.62256
1028,433.6602
1029,433.69565
1030,433.7314
1031,433.7694
1032,433.80923
1033,433.8491
1034,433.8877
1035,433.92548
1036,433.9637
1037,434.0035
1038,434.044
1039,434.08362
1040,434.12167
1041,434.15918
1042,434.1978
1043,434.23834
1044,434.27945
1045,434.3192
1046,434.35712
1047,434.39465
1048,434.43405
1049,434.47607
1050,434.51904
1051,434.5599
1052,434.59717
1053,434.63208
1054,434.6673
1055,434.70483
1056,434.74448
1057,434.78406
1058,434.82233
1059,434.8596
1060,434.89746
1061,434.93704
1062,434.97726
1063,435.01666
1064,435.05423
1065,435.09134
1066,435.12964
1067,435.16992
1068,435.2109
1069,435.25043
1070,435.288
1071,435.32513
1072,435.36435
1073,435.40637
1074,435.44934
1075,435.49017
1076,435.52716
1077,435.56152
1078,435.59644
1079,435.63376
1080,435.6733
1081,435.7129
1082,435.75104
1083,435.7882
1084,435.82608
1085,435.86566
1086,435.90613
1087,435.94562
1088,435.98325
1089,436.02032
1090,436.05878
1091,436.09943
1092,436.1407
1093,436.18063
1094,436.21838
1095,436.25574
1096,436.29535
1097,436.33795
1098,436.38165
1099,436.42297
1100,436.4603
1101,436.4949
1102,436.5299
1103,436.56763
1104,436.60776
1105,436.64798
1106,436.6866
1107,436.72427
1108,436.76266
1109,436.80292
1110,436.84402
1111,436.88422
1112,436.92236
1113,436.96002
1114,436.99915
1115,437.0405
1116,437.08258
1117,437.12317
1118,437.1616
1119,437.19952
1120,437.23978
1121,437.28326
1122,437.3278
1123,437.36993
1124,437.4078
1125,437.44278
1126,437.47824
1127,437.51654
1128,437.55737
1129,437.59827
1130,437.63742
1131,437.6756
1132,437.7145
1133,437.75537
1134,437.7972
1135,437.83795
1136,437.8767
1137,437.91476
1138,437.9544
1139,437.99646
1140,438.03925
1141,438.08044
1142,438.11926
1143,438.15762
1144,438.19846
1145,438.2427
1146,438.28802
1147,438.3308
1148,438.36914
1149,438.40433
1150,438.4402
1151,438.47888
1152,438.5203
1153,438.5618
1154,438.60162
1155,438.64026
1156,438.67972
1157,438.72125
1158,438.76373
1159,438.80515
1160,438.84442
1161,438.88312
1162,438.92346
1163,438.96622
1164,439.0098
1165,439.05176
1166,439.09125
1167,439.13034
1168,439.17203
1169,439.2172
1170,439.2635
1171,439.30725
1172,439.34625
1173,439.38214
1174,439.41864
1175,439.45825
1176,439.50058
1177,439.543
1178,439.5837
1179,439.62326
1180,439.6636
1181,439.70615
1182,439.7497
1183,439.79208
1184,439.8324
1185,439.87195
1186,439.91312
1187,439.957
1188,440.00168
1189,440.04468
1190,440.0851
1191,440.12503
1192,440.16766
1193,440.21387
1194,440.2614
1195,440.30603
1196,440.3459
1197,440.3825
1198,440.41977
1199,440.4601
1200,440.50333
1201,440.54657
1202,440.588
1203,440.6282
1204,440.66928
1205,440.7125
1206,440.7567
1207,440.79974
1208,440.84058
1209,440.88058
1210,440.92227
1211,440.96664
1212,441.01187
1213,441.05524
1214,441.09595
1215,441.1362
1216,441.17914
1217,441.2257
1218,441.2735
1219,441.3184
1220,441.35837
1221,441.3949
1222,441.43207
1223,441.4725
1224,441.51562
1225,441.55887
1226,441.60025
1227,441.64026
1228,441.68118
1229,441.7243
1230,441.76843
1231,441.81128
1232,441.85184
1233,441.89163
1234,441.93307
1235,441.97726
1236,442.02228
1237,442.06552
1238,442.1059
1239,442.14578
1240,442.18848
1241,442.23495
1242,442.28265
1243,442.32742
1244,442.36703
1245,442.40323
1246,442.44003
1247,442.48022
1248,442.5232
1249,442.5663
1250,442.60757
1251,442.6474
1252,442.6882
1253,442.73126
1254,442.7754
1255,442.81827
1256,442.85883
1257,442.8986
1258,442.9401
1259,442.9844
1260,443.02963
1261,443.07294
1262,443.1135
1263,443.15363
1264,443.19647
1265,443.24332
1266,443.29147
1267,443.33658
1268,443.37653
1269,443.41287
1270,443.44983
1271,443.49036
1272,443.5338
1273,443.57733
1274,443.61905
1275,443.6592
1276,443.70044
1277,443.74402
1278,443.78864
1279,443.832
1280,443.87302
1281,443.91312
1282,443.9551
1283,443.99994
1284,444.04578
1285,444.0896
1286,444.13058
1287,444.17102
1288,444.21445
1289,444.26175
1290,444.31042
1291,444.35596
1292,444.3963
1293,444.43286
1294,444.47006
1295,444.51083
