weight_MLP,weight_LSTM,weight_GRU,weight_PINT,weight_TFKAN,weight_EXP,weight_ARIMA,weight_PROPHET
0.39576054,0.006889769,0.0634737,0.052406404,0.02980476,0.016872235,0.3949178,0.03987472
0.39594394,0.006843082,0.06381982,0.05231918,0.029762585,0.016807785,0.39462876,0.03987472
0.39612186,0.006796923,0.06417398,0.05223943,0.029723195,0.016740227,0.39432415,0.03988019
0.39622906,0.0067524035,0.06450991,0.05219268,0.029694133,0.01666111,0.39407066,0.039890118
0.3962781,0.006709606,0.06482117,0.05217204,0.029672902,0.016573604,0.39387193,0.03990063
0.39631695,0.00666712,0.06513266,0.052154183,0.029652763,0.016486313,0.3936791,0.03991082
0.39639184,0.0066244667,0.065454386,0.052119423,0.029627629,0.016406585,0.39345783,0.039917886
0.39650372,0.006581464,0.06579128,0.052069712,0.029597782,0.016331485,0.3931995,0.039925
0.3965993,0.0065385266,0.06613191,0.05202631,0.029569682,0.01625298,0.39294684,0.03993455
0.39665267,0.0064963303,0.066460274,0.051999945,0.02954631,0.016167639,0.3927314,0.039945427
0.39668113,0.006454687,0.06677953,0.051981743,0.02952517,0.016079903,0.39254275,0.03995501
0.39672655,0.006412854,0.06710488,0.0519521,0.029500574,0.015997726,0.39234468,0.039960586
0.3968144,0.006370412,0.06744788,0.05190113,0.029469578,0.015923992,0.39210996,0.03996265
0.39692393,0.006327794,0.06780126,0.05184035,0.029435383,0.015853286,0.39185393,0.039964076
0.39700204,0.0062855766,0.0681514,0.05179298,0.029404985,0.015776498,0.39161775,0.039968718
0.39702567,0.0062442566,0.06848617,0.051768355,0.02938121,0.015691105,0.391427,0.039976165
0.39703196,0.006203636,0.06881181,0.051750902,0.029359458,0.015603832,0.3912553,0.03998314
0.3970644,0.006162796,0.06915031,0.051719517,0.029333938,0.015523454,0.3910584,0.039987158
0.39714882,0.0061215814,0.069509104,0.051665455,0.02930195,0.015452502,0.39081228,0.03998831
0.39724997,0.006080515,0.069876194,0.05160587,0.029268296,0.015383308,0.39054564,0.039990228
0.39729998,0.006040338,0.07022889,0.051569097,0.029241255,0.015305101,0.3903191,0.039996214
0.3972808,0.006001376,0.070555605,0.05156253,0.029222716,0.015215154,0.3901558,0.040006015
0.39723507,0.005962983,0.07087086,0.051565282,0.029206686,0.015122437,0.3900217,0.040014964
0.39723852,0.005923964,0.0712076,0.051543307,0.029183533,0.015040105,0.3898439,0.04001913
0.3973373,0.005883728,0.071587116,0.05147845,0.029148094,0.014974248,0.38957268,0.04001842
0.39750373,0.005842988,0.0719967,0.051385522,0.029104773,0.014919392,0.3892317,0.040015183
0.39766166,0.005802647,0.07241104,0.05129859,0.02906347,0.014862237,0.38888508,0.04001527
0.3977556,0.0057636336,0.072801,0.051241133,0.029030865,0.014794527,0.38859347,0.040019784
0.3977951,0.0057259826,0.07316326,0.051208317,0.029005425,0.014718722,0.38835704,0.040026188
0.39782646,0.005688656,0.073525496,0.051177878,0.028980903,0.014643098,0.3881251,0.040032383
0.39789203,0.00565118,0.073903084,0.051131878,0.028952008,0.014574175,0.38785994,0.040035736
0.39798686,0.005613534,0.07429665,0.051073544,0.028919498,0.014509602,0.38756192,0.04003834
0.3980652,0.0055761677,0.074689806,0.051022105,0.028888928,0.014442045,0.38727257,0.040043097
0.3981739,0.00553774,0.07504152,0.050973896,0.02885189,0.014361601,0.38701165,0.040047854
0.39835182,0.0054974486,0.075351164,0.0509159,0.028802559,0.014270254,0.3867612,0.040049687
0.39855194,0.0054569785,0.075670175,0.050846662,0.028749699,0.014183457,0.38649255,0.0400485
0.39880076,0.00541589,0.0760085,0.050756283,0.028689984,0.014103699,0.3861813,0.040043578
0.3990697,0.0053747194,0.07635609,0.05065734,0.02862742,0.014026587,0.38585067,0.04003745
0.39930177,0.005334269,0.07669539,0.050572887,0.028569466,0.013944799,0.38554722,0.040034235
0.3994738,0.005295005,0.077015586,0.05051181,0.028519165,0.013856342,0.38529402,0.040034372
0.39962527,0.005256423,0.07732815,0.050458334,0.02847144,0.013766441,0.38505897,0.040034965
0.39981255,0.0052174036,0.07765678,0.05038919,0.028418718,0.013682105,0.38479072,0.04003261
0.40005866,0.0051777214,0.078008376,0.050296023,0.028358227,0.013605506,0.38446924,0.04002629
0.40031928,0.0051380987,0.07836726,0.050197363,0.028295888,0.013530558,0.3841321,0.04001954
0.40051895,0.005099606,0.07870692,0.050122112,0.028241152,0.013448805,0.38384604,0.040016476
0.4006359,0.005062682,0.079016306,0.05007876,0.028196832,0.013358068,0.38363355,0.040017877
0.40072274,0.0050264336,0.07931542,0.05004552,0.02815588,0.0132652605,0.38344893,0.04001974
0.40086997,0.0049893735,0.079640396,0.04998669,0.028106663,0.0131806405,0.3832092,0.040017057
0.4011299,0.0049507096,0.08001221,0.049882915,0.028042758,0.013109077,0.38286442,0.040008012
0.401468,0.0049111308,0.080417015,0.04974935,0.027969109,0.013046118,0.3824443,0.03999506
0.40179634,0.004871947,0.08082252,0.04962094,0.027897062,0.0129814735,0.38202578,0.039984025
0.40205088,0.004834287,0.08119962,0.049522385,0.027834833,0.012908744,0.3816715,0.039977785
0.40224084,0.0047980994,0.08154854,0.049449436,0.027781144,0.012829783,0.38137743,0.039974738
0.4024249,0.0047622374,0.08189694,0.049378395,0.027728207,0.012751081,0.3810868,0.03997154
0.40264946,0.0047260495,0.08226291,0.049291175,0.027670091,0.012677644,0.38075733,0.03996531
0.4029054,0.004689652,0.08264386,0.049192153,0.027608087,0.012607668,0.38039568,0.039957576
0.40314177,0.004653745,0.08302037,0.049100835,0.027548555,0.0125355,0.38004738,0.039951757
0.40333062,0.0046188794,0.08337702,0.04902817,0.027495168,0.012458517,0.37974274,0.03994893
0.40349412,0.004584668,0.08372377,0.048964787,0.027444858,0.012379602,0.37946096,0.039947197
0.40368223,0.004550254,0.08408372,0.048890665,0.027391158,0.012304323,0.3791546,0.03994306
0.40391892,0.0045152837,0.08446781,0.048796672,0.027330989,0.012234939,0.37880018,0.03993522
0.4041733,0.004480283,0.084861875,0.04869552,0.027268482,0.012167794,0.3784267,0.03992609
0.40438882,0.0044460716,0.085241586,0.048609182,0.027210826,0.0120967515,0.3780871,0.039919652
0.4045444,0.004413026,0.085595265,0.048545685,0.027160656,0.012019948,0.37780398,0.039916974
0.40468007,0.004380553,0.08594042,0.04848977,0.027113054,0.011941697,0.3775391,0.039915297
0.40485325,0.004347631,0.08630671,0.048418283,0.02706039,0.011868087,0.37723494,0.039910804
0.405084,0.00431403,0.08670255,0.048323724,0.027000224,0.01180103,0.37687227,0.0399021
0.40532553,0.004280474,0.087106146,0.048224464,0.026938522,0.011735443,0.37649697,0.039892446
0.40550488,0.0042480375,0.08748272,0.048148245,0.02688438,0.011664131,0.3761812,0.03988641
0.40560043,0.0042171003,0.087819524,0.04810344,0.026840566,0.0115851,0.3759486,0.039885268
0.405667,0.0041867676,0.08814395,0.048068684,0.026800094,0.011504036,0.37574407,0.03988535
0.405795,0.0041556275,0.088501915,0.048009142,0.02675151,0.011429807,0.37547606,0.039881006
0.40603372,0.0041229567,0.08891864,0.047906224,0.026688717,0.011366763,0.37509343,0.039869566
0.4063471,0.0040893736,0.08937641,0.047774572,0.026616469,0.01131111,0.37463152,0.039853487
0.4066477,0.004056178,0.08983217,0.047647987,0.026545858,0.011254216,0.3741773,0.039838564
0.40687412,0.004024381,0.090251386,0.047550157,0.026484737,0.011190447,0.37379622,0.03982858
0.4070366,0.0039938577,0.090637065,0.04747689,0.026431791,0.011121198,0.3734803,0.039822366
0.4071936,0.0039636022,0.091022395,0.04740517,0.026379433,0.0110521065,0.37316757,0.039816126
0.40739062,0.0039329873,0.09143025,0.047317836,0.026322022,0.01098743,0.37281212,0.039806806
0.4076157,0.0039021727,0.09185562,0.047219567,0.026261048,0.010925722,0.37242454,0.039795585
0.40781996,0.0038718663,0.092272654,0.047129266,0.0262027,0.010862249,0.37205532,0.039786033
0.4079761,0.0038425256,0.09266416,0.04705739,0.026150433,0.010794623,0.371735,0.03977977
0.40810743,0.0038137706,0.09304351,0.046994675,0.02610125,0.010725228,0.3714391,0.039775006
0.40826425,0.0037847983,0.09343965,0.04692156,0.026048677,0.01065878,0.3711142,0.039768107
0.40846902,0.0037553138,0.093865186,0.04682954,0.025989937,0.010597295,0.37073603,0.03975758
0.4086897,0.00372581,0.09430188,0.04673116,0.025929155,0.010537686,0.3703389,0.039745662
0.40887073,0.003697092,0.0947184,0.04664769,0.025873316,0.010474829,0.36998144,0.039736465
0.40899292,0.0036694629,0.095101796,0.04658664,0.025824908,0.010407083,0.36968595,0.039731324
0.4090949,0.0036423355,0.09547475,0.046533078,0.025779001,0.010337996,0.36941037,0.039727543
0.4092353,0.0036147758,0.09587379,0.04646423,0.025728084,0.010272831,0.3690902,0.03972094
0.40943196,0.0035865593,0.09630894,0.046373054,0.02566985,0.01021319,0.36870652,0.039709967
0.40963793,0.003558388,0.096752375,0.046277676,0.025610263,0.010154829,0.3683106,0.039697923
0.40978172,0.003531276,0.09716128,0.04620509,0.025558252,0.010091661,0.36798102,0.03968968
0.40984336,0.0035055606,0.0975207,0.0461634,0.025516458,0.010021909,0.36774182,0.039686866
0.40987703,0.0034803862,0.097865276,0.046131607,0.025477959,0.0099503705,0.3675317,0.039685708
0.40997177,0.0034544356,0.09825086,0.04607553,0.025431454,0.009884605,0.36725134,0.039680008
0.4101749,0.003427071,0.09870715,0.04597729,0.025371054,0.009828381,0.36684754,0.039666582
